algorithm,cose_alg,jose_alg,tls_signaturescheme,x509_oid,multicodec_pub,status,notes
ISO Chinese IBS,,,0x0707,1.2.156.10197.1.302.1,,draft,identity-based; draft expired
ML-DSA-44,-48,ML-DSA-44,0x0904,2.16.840.1.101.3.4.3.17,0x1210,mixed,COSE/JOSE from RFC 9964; TLS from draft-ietf-tls-mldsa-00
ML-DSA-65,-49,ML-DSA-65,0x0905,2.16.840.1.101.3.4.3.18,0x1211,mixed,COSE/JOSE from RFC 9964; TLS from draft-ietf-tls-mldsa-00
ML-DSA-87,-50,ML-DSA-87,0x0906,2.16.840.1.101.3.4.3.19,0x1212,mixed,COSE/JOSE from RFC 9964; TLS from draft-ietf-tls-mldsa-00
SLH-DSA-SHA2-128s,,,0x0911,2.16.840.1.101.3.4.3.20,0x1220,draft,no COSE and no JOSE at all
SLH-DSA-SHA2-128f,,,0x0912,2.16.840.1.101.3.4.3.21,0x1221,draft,no COSE and no JOSE at all
SLH-DSA-SHA2-192s,,,0x0913,2.16.840.1.101.3.4.3.22,0x1222,draft,no COSE and no JOSE at all
SLH-DSA-SHA2-192f,,,0x0914,2.16.840.1.101.3.4.3.23,0x1223,draft,no COSE and no JOSE at all
SLH-DSA-SHA2-256s,,,0x0915,2.16.840.1.101.3.4.3.24,0x1224,draft,no COSE and no JOSE at all
SLH-DSA-SHA2-256f,,,0x0916,2.16.840.1.101.3.4.3.25,0x1225,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-128s,,,0x0917,2.16.840.1.101.3.4.3.26,0x1226,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-128f,,,0x0918,2.16.840.1.101.3.4.3.27,0x1227,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-192s,,,0x0919,2.16.840.1.101.3.4.3.28,0x1228,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-192f,,,0x091A,2.16.840.1.101.3.4.3.29,0x1229,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-256s,,,0x091B,2.16.840.1.101.3.4.3.30,0x122a,draft,no COSE and no JOSE at all
SLH-DSA-SHAKE-256f,,,0x091C,2.16.840.1.101.3.4.3.31,0x122b,draft,no COSE and no JOSE at all
Composite MLDSA44-RSA2048-PSS-SHA256,,,,1.3.6.1.5.5.7.6.37,,draft,"OID only; RFC-ietf-lamps-pq-composite-sigs-19 (approved, awaiting an RFC number)"
Composite MLDSA44-RSA2048-PKCS15-SHA256,,,,1.3.6.1.5.5.7.6.38,,draft,"OID only; PKCS#1 v1.5 rather than PSS, kept for legacy verifiers"
Composite MLDSA44-Ed25519-SHA512,,,,1.3.6.1.5.5.7.6.39,,draft,"OID only; the Entrust arc from draft-00 is DEAD, this is the IANA allocation"
Composite MLDSA44-ECDSA-P256-SHA256,,,,1.3.6.1.5.5.7.6.40,,draft,OID only
Composite MLDSA65-RSA3072-PSS-SHA512,,,,1.3.6.1.5.5.7.6.41,,draft,OID only
Composite MLDSA65-RSA3072-PKCS15-SHA512,,,,1.3.6.1.5.5.7.6.42,,draft,OID only
Composite MLDSA65-RSA4096-PSS-SHA512,,,,1.3.6.1.5.5.7.6.43,,draft,OID only
Composite MLDSA65-RSA4096-PKCS15-SHA512,,,,1.3.6.1.5.5.7.6.44,,draft,OID only
Composite MLDSA65-ECDSA-P256-SHA512,,,,1.3.6.1.5.5.7.6.45,,draft,OID only
Composite MLDSA65-ECDSA-P384-SHA512,,,,1.3.6.1.5.5.7.6.46,,draft,OID only
Composite MLDSA65-ECDSA-brainpoolP256r1-SHA512,,,,1.3.6.1.5.5.7.6.47,,draft,"OID only; Brainpool appears here but has no ML-DSA COSE or JOSE pairing"
Composite MLDSA65-Ed25519-SHA512,,,,1.3.6.1.5.5.7.6.48,,draft,"OID only; the Entrust arc from draft-00 is DEAD, this is the IANA allocation"
Composite MLDSA87-ECDSA-P384-SHA512,,,,1.3.6.1.5.5.7.6.49,,draft,OID only
Composite MLDSA87-ECDSA-brainpoolP384r1-SHA512,,,,1.3.6.1.5.5.7.6.50,,draft,OID only
Composite MLDSA87-Ed448-SHAKE256,,,,1.3.6.1.5.5.7.6.51,,draft,"OID only; the only composite using SHAKE256 rather than SHA-512"
Composite MLDSA87-RSA3072-PSS-SHA512,,,,1.3.6.1.5.5.7.6.52,,draft,OID only
Composite MLDSA87-RSA4096-PSS-SHA512,,,,1.3.6.1.5.5.7.6.53,,draft,OID only
Composite MLDSA87-ECDSA-P521-SHA512,,,,1.3.6.1.5.5.7.6.54,,draft,OID only
